,Organisation,Region,City
0,'Ndrangheta,Calabria,Reggio Calabria
1,'Ndrangheta,Calabria,Catanzaro
2,'Ndrangheta,Calabria,Corigliano-Rossano
3,'Ndrangheta,Calabria,Lamezia Terme
4,'Ndrangheta,Calabria,Cosenza
5,'Ndrangheta,Calabria,Crotone
6,'Ndrangheta,Calabria,Rende
7,'Ndrangheta,Calabria,Vibo Valentia
8,'Ndrangheta,Calabria,Castrovillari
9,'Ndrangheta,Calabria,Acri
10,'Ndrangheta,Calabria,Montalto Uffugo
11,Camorra,Campania,Naples
12,Camorra,Campania,Salerno
13,Camorra,Campania,Caserta
14,Camorra,Campania,Avellino
15,Camorra,Campania,Benevento
16,Sacra Corona Unita,Puglia,Bari
17,Sacra Corona Unita,Puglia,Taranto
18,Sacra Corona Unita,Puglia,Foggia
19,Sacra Corona Unita,Puglia,Andria
20,Sacra Corona Unita,Puglia,Lecce
21,Cosa Nostra,Sicily,Palermo
22,Cosa Nostra,Sicily,Catania
23,Cosa Nostra,Sicily,Messina
24,Cosa Nostra,Sicily,Syracuse
25,Cosa Nostra,Sicily,Marsala
26,Cosa Nostra,Sicily,Gela
27,Cosa Nostra,Sicily,Ragusa
28,Cosa Nostra,Sicily,Trapani
29,Cosa Nostra,Sicily,Vittoria
30,Cosa Nostra,Sicily,Caltanissetta
